the_geom,borocode,boroname,borocd,coundist,assemdist,stsendist,congdist,location,borough,date_insta,point_x,point_y,femafldz,femafldt,ntaname,:@computed_region_f5dn_yrer,:@computed_region_yeji_bk3q,:@computed_region_92fq_4b7q,:@computed_region_sbqj_enih,hrcevac,:@computed_region_efsh_h5xi
"{'type': 'Point', 'coordinates': [-73.93956356643366, 40.82095772037722]}",1,Manhattan,110,9,71,30,13,7 Avenue and West 144 Street,Manhattan,2026-07-21T00:00:00.000,-73.939565,40.820966,X,AREA OF MINIMAL FLOOD HAZARD,Harlem (North),18,4,36,20,4,12427
"{'type': 'Point', 'coordinates': [-73.94047556614933, 40.8197117204399]}",1,Manhattan,110,9,70,30,13,7 Avenue and West 142 Street,Manhattan,2025-05-14T00:00:00.000,-73.940477,40.81972,X,AREA OF MINIMAL FLOOD HAZARD,Harlem (North),18,4,36,20,4,12427
"{'type': 'Point', 'coordinates': [-73.95474956724047, 40.72058574061964]}",3,Brooklyn,301,33,50,59,7,Bedford Avenue and North 12 Street,Brooklyn,2025-08-15T00:00:00.000,-73.954751,40.720594,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,Williamsburg,36,2,38,57,3,17613
"{'type': 'Point', 'coordinates': [-73.85171760244071, 40.69305574217051]}",4,Queens,409,32,38,15,7,Woodhaven Boulevard East S/R and 180' South of Jamaica Avenue,Queens,2018-10-23T00:00:00.000,-73.851719,40.693064,X,AREA OF MINIMAL FLOOD HAZARD,Woodhaven,46,3,41,60,,24017
"{'type': 'Point', 'coordinates': [-73.87513859075017, 40.756624730820675]}",4,Queens,403,25,34,13,14,Northern Boulevard and  93 Street,Queens,2020-06-03T00:00:00.000,-73.87514,40.756633,X,AREA OF MINIMAL FLOOD HAZARD,Jackson Heights,65,3,5,73,,14783
"{'type': 'Point', 'coordinates': [-73.94504457309532, 40.66860774979218]}",3,Brooklyn,309,35,43,20,9,Brooklyn Avenue and Union Street,Brooklyn,2026-01-09T00:00:00.000,-73.945046,40.668616,X,AREA OF MINIMAL FLOOD HAZARD,Crown Heights (South),17,2,48,44,,17615
"{'type': 'Point', 'coordinates': [-73.92869657879844, 40.66449275055355]}",3,Brooklyn,317,41,58,19,9,"East New York Avenue with East 93 Street, Ford Street and Rochester Avenue",Brooklyn,2022-03-15T00:00:00.000,-73.928698,40.664501,X,AREA OF MINIMAL FLOOD HAZARD,East Flatbush-Remsen Village,61,2,17,40,,17614
"{'type': 'Point', 'coordinates': [-73.97896855909879, 40.73616773794963]}",1,Manhattan,106,2,74,59,12,1  Avenue and East  22 Street,Manhattan,2017-05-24T00:00:00.000,-73.97897,40.736176,X,AREA OF MINIMAL FLOOD HAZARD,Gramercy,71,4,50,7,4,12073
"{'type': 'Point', 'coordinates': [-74.18340162107212, 40.56539674091533]}",5,Staten Island,503,51,62,24,11,Arthur Kill Road and Kenilworth Avenue,Staten Island,2024-02-05T00:00:00.000,-74.1834031173,40.5654049621,X,AREA OF MINIMAL FLOOD HAZARD,Arden Heights-Rossville,15,1,9,77,,10699
"{'type': 'Point', 'coordinates': [-74.1471685167226, 40.54107178184889]}",5,Staten Island,503,51,64,24,11,Hylan Boulevard and Wiman Avenue,Staten Island,2025-03-27T00:00:00.000,-74.14717,40.54108,X,AREA OF MINIMAL FLOOD HAZARD,Great Kills-Eltingville,15,1,9,76,5,10695
"{'type': 'Point', 'coordinates': [-73.88791558964647, 40.715797738743]}",4,Queens,405,30,28,15,6,69 Street and Juniper Boulevard South,Queens,2023-08-04T00:00:00.000,-73.887917,40.715806,X,AREA OF MINIMAL FLOOD HAZARD,Mount Olivet & All Faiths Cemeteries,54,3,34,62,,15309
"{'type': 'Point', 'coordinates': [-73.8912685903293, 40.676431746997004]}",3,Brooklyn,305,37,54,19,7,Atlantic Avenue and Van Siclen Avenue,Brooklyn,2021-09-08T00:00:00.000,-73.89127,40.67644,X,AREA OF MINIMAL FLOOD HAZARD,East New York (North),45,2,37,47,,17214
"{'type': 'Point', 'coordinates': [-73.85204659927176, 40.73767373343309]}",4,Queens,404,21,35,13,6,108 Street and Long Island Expressway North S/R,Queens,2023-07-13T00:00:00.000,-73.852048,40.737682,X,AREA OF MINIMAL FLOOD HAZARD,Corona,66,3,21,68,6,14510
"{'type': 'Point', 'coordinates': [-73.89027826858772, 40.82102959728706]}",2,Bronx,202,17,85,32,14,Hoe Avenue and East 163 Street,Bronx,2025-06-23T00:00:00.000,-73.8902796866,40.8210378789,X,AREA OF MINIMAL FLOOD HAZARD,Longwood,8,5,43,24,,10937
"{'type': 'Point', 'coordinates': [-73.79867461653004, 40.728794733181985]}",4,Queens,408,24,25,16,6,73 Avenue and 171 Street,Queens,2022-09-22T00:00:00.000,-73.798676,40.728803,X,AREA OF MINIMAL FLOOD HAZARD,Pomonok-Electchester-Hillcrest,25,3,24,65,,14508
"{'type': 'Point', 'coordinates': [-73.80878761560604, 40.70381473804909]}",4,Queens,412,27,32,14,5,Sutphin Boulevard and  89 Avenue,Queens,2025-11-04T00:00:00.000,-73.808789,40.703823,X,AREA OF MINIMAL FLOOD HAZARD,Jamaica,41,3,24,61,,24670
"{'type': 'Point', 'coordinates': [-73.94654139338816, 40.7454623311033]}",4,Queens,402,26,37,59,7,Jackson Avenue and Crane Street,Queens,2025-10-17T00:00:00.000,-73.9465428253,40.7454705957,X,AREA OF MINIMAL FLOOD HAZARD,Long Island City-Hunters Point,53,3,33,66,2,16858
"{'type': 'Point', 'coordinates': [-73.9735535053905, 40.65563569305695]}",3,Brooklyn,"307, 355",39,44,20,10,Prospect Park Southwest and Seeley Street,Brooklyn,2024-06-14T00:00:00.000,-73.97355494,40.6556439394,X,AREA OF MINIMAL FLOOD HAZARD,Windsor Terrace-South Slope,9,2,27,45,,17620
"{'type': 'Point', 'coordinates': [-73.75576984122291, 40.723631948831475]}",4,Queens,"408, 413",23,33,11,5,Hillside Avenue and 211 Street,Queens,2024-03-29T00:00:00.000,-73.75577121,40.7236402157,X,AREA OF MINIMAL FLOOD HAZARD,Queens Village,63,3,16,63,,24336
"{'type': 'Point', 'coordinates': [-73.9106925733779, 40.850010713732516]}",2,Bronx,205,14,77,33,15,Jerome Avenue and West 177 Street,Bronx,2019-12-01T00:00:00.000,-73.910694,40.850019,X,AREA OF MINIMAL FLOOD HAZARD,Mount Hope,6,5,29,29,,10931
"{'type': 'Point', 'coordinates': [-73.87047459675642, 40.677224746073115]}",3,Brooklyn,305,37,54,19,7,South Conduit Boulevard and Crescent Street,Brooklyn,2023-07-20T00:00:00.000,-73.870476,40.677233,X,AREA OF MINIMAL FLOOD HAZARD,East New York-City Line,45,2,37,47,6,17215
"{'type': 'Point', 'coordinates': [-73.78446162212852, 40.71248673628909]}",4,Queens,408,23,29,11,5,Hillside Avenue and 179 Street,Queens,2024-02-20T00:00:00.000,-73.784463,40.712495,X,AREA OF MINIMAL FLOOD HAZARD,Jamaica,41,3,6,61,,24340
"{'type': 'Point', 'coordinates': [-73.96115335396858, 40.68499334722004]}",3,Brooklyn,302,35,57,25,8,Gates Avenue and Downing Street,Brooklyn,2024-01-19T00:00:00.000,-73.9611547864,40.6850016,X,AREA OF MINIMAL FLOOD HAZARD,Clinton Hill,68,2,48,55,,13829
"{'type': 'Point', 'coordinates': [-73.96929657073817, 40.59063976636242]}",3,Brooklyn,315,47,45,23,8,Avenue X and East   1 Street,Brooklyn,2024-02-09T00:00:00.000,-73.969298,40.590648,X,AREA OF MINIMAL FLOOD HAZARD,Gravesend (South),32,2,45,36,2,18183
"{'type': 'Point', 'coordinates': [-73.95366057067436, 40.682107748188244]}",3,Brooklyn,303,36,57,25,8,Bedford Avenue and Hancock Street,Brooklyn,2026-01-08T00:00:00.000,-73.953662,40.682116,X,AREA OF MINIMAL FLOOD HAZARD,Bedford-Stuyvesant (West),69,2,49,51,,17618
"{'type': 'Point', 'coordinates': [-73.88210658949473, 40.73486573458835]}",4,Queens,404,30,30,12,6,"Grand Avenue with Van Kleeck Street, Kneeland Avenue, and Haspel Street",Queens,2022-05-06T00:00:00.000,-73.882108,40.734874,X,AREA OF MINIMAL FLOOD HAZARD,Elmhurst,66,3,5,68,,14784
"{'type': 'Point', 'coordinates': [-73.96490256857797, 40.64871275495074]}",3,Brooklyn,314,40,42,21,9,Church Avenue and Buckingham Road,Brooklyn,2022-01-10T00:00:00.000,-73.964904,40.648721,X,AREA OF MINIMAL FLOOD HAZARD,Flatbush (West)-Ditmas Park-Parkville,60,2,11,43,,13510
"{'type': 'Point', 'coordinates': [-73.92505557108122, 40.815708720919986]}",2,Bronx,201,8,84,29,15,Rider Avenue and East 144 Street,Bronx,2023-09-05T00:00:00.000,-73.925057,40.815717,X,AREA OF MINIMAL FLOOD HAZARD,Mott Haven-Port Morris,49,5,35,23,3,10929
"{'type': 'Point', 'coordinates': [-73.91148857397965, 40.84732671370653]}",2,Bronx,205,14,77,33,15,East 175 Street and Townsend Avenue,Bronx,2019-09-17T00:00:00.000,-73.91149,40.847335,X,AREA OF MINIMAL FLOOD HAZARD,Mount Hope,6,5,29,29,,10931
"{'type': 'Point', 'coordinates': [-73.73402953347097, 40.69321867250613]}",4,Queens,413,27,33,14,5,Linden Boulevard and 227 Street,Queens,2024-03-14T00:00:00.000,-73.7340308942,40.6932269352,X,AREA OF MINIMAL FLOOD HAZARD,Cambria Heights,63,3,6,63,,15311
"{'type': 'Point', 'coordinates': [-74.0781285325418, 40.638162760445475]}",5,Staten Island,501,49,61,23,11,"Victory Boulevard with St Pauls Avenue, Van Duzer Street, and Montgomery Avenue",Staten Island,2026-02-09T00:00:00.000,-74.07813,40.638171,X,AREA OF MINIMAL FLOOD HAZARD,Tompkinsville-Stapleton-Clifton-Fox Hills,4,1,13,74,,10369
"{'type': 'Point', 'coordinates': [-73.76855363006554, 40.672862743388016]}",4,Queens,412,28,32,10,5,137 Avenue and 172 Street,Queens,2017-04-07T00:00:00.000,-73.768555,40.672871,X,AREA OF MINIMAL FLOOD HAZARD,Springfield Gardens (North)-Rochdale Village,41,3,47,71,4,24669
"{'type': 'Point', 'coordinates': [-73.94054313834943, 40.7017897885526]}",3,Brooklyn,301,34,53,18,7,Humboldt Street and Debevoise Street,Brooklyn,2024-03-08T00:00:00.000,-73.9405445651,40.7017980452,X,AREA OF MINIMAL FLOOD HAZARD,East Williamsburg,36,2,30,56,5,17213
"{'type': 'Point', 'coordinates': [-73.90005657869085, 40.81859271881725]}",2,Bronx,202,17,84,32,14,Longwood Avenue and Hewitt Place,Bronx,2021-12-06T00:00:00.000,-73.900058,40.818601,X,AREA OF MINIMAL FLOOD HAZARD,Longwood,8,5,43,24,,10937
"{'type': 'Point', 'coordinates': [-73.85705658875173, 40.88173770496207]}",2,Bronx,212,12,83,36,15,Bronxwood Avenue and East 219 Street,Bronx,2010-02-03T00:00:00.000,-73.857058,40.881746,X,AREA OF MINIMAL FLOOD HAZARD,Williamsbridge-Olinville,29,5,2,30,,11605
"{'type': 'Point', 'coordinates': [-73.96317950417752, 40.6396491391238]}",3,Brooklyn,314,40,42,21,9,Dorchester Road and East 16 Street,Brooklyn,2025-12-05T00:00:00.000,-73.9631809336,40.6396573829,X,AREA OF MINIMAL FLOOD HAZARD,Flatbush (West)-Ditmas Park-Parkville,60,2,11,43,6,13510
"{'type': 'Point', 'coordinates': [-73.8326656082661, 40.7000997402449]}",4,Queens,409,29,24,15,5,Hillside Avenue and Myrtle Avenue,Queens,2022-07-05T00:00:00.000,-73.832667,40.700108,X,AREA OF MINIMAL FLOOD HAZARD,Richmond Hill,46,3,28,60,,24014
"{'type': 'Point', 'coordinates': [-73.85294759826022, 40.7461587316587]}",4,Queens,404,21,39,13,6,111 Street and  49 Avenue,Queens,2023-12-18T00:00:00.000,-73.852949,40.746167,X,AREA OF MINIMAL FLOOD HAZARD,Corona,66,3,21,68,6,14510
"{'type': 'Point', 'coordinates': [-73.915528581267, 40.692581744382096]}",3,Brooklyn,304,37,54,18,7,Central Avenue and Madison Street,Brooklyn,2021-02-26T00:00:00.000,-73.91553,40.69259,X,AREA OF MINIMAL FLOOD HAZARD,Bushwick (East),42,2,30,53,,18181
"{'type': 'Point', 'coordinates': [-73.98888015702236, 40.66223892773804]}",3,Brooklyn,307,39,51,20,10,6 Avenue and 17 Street,Brooklyn,2025-06-18T00:00:00.000,-73.9888815972,40.6622471748,X,AREA OF MINIMAL FLOOD HAZARD,Sunset Park (West),9,2,7,45,,17617
"{'type': 'Point', 'coordinates': [-73.85285060112088, 40.69753174100538]}",4,Queens,409,32,38,15,7,Woodhaven Boulevard and Park Lane South,Queens,2020-01-14T00:00:00.000,-73.852852,40.69754,X,AREA OF MINIMAL FLOOD HAZARD,Woodhaven,46,3,41,60,,24017
"{'type': 'Point', 'coordinates': [-74.01096454926585, 40.71629374285099]}",1,Manhattan,101,1,66,27,10,Greenwich Street and Chambers Street,Manhattan,2020-08-18T00:00:00.000,-74.010966,40.716302,X,AREA OF MINIMAL FLOOD HAZARD,Tribeca-Civic Center,56,4,32,1,3,11728
"{'type': 'Point', 'coordinates': [-74.11719752009172, 40.634558762963735]}",5,Staten Island,501,49,61,23,11,Castleton Avenue and Broadway,Staten Island,2023-07-05T00:00:00.000,-74.117199,40.634567,X,AREA OF MINIMAL FLOOD HAZARD,Port Richmond,4,1,13,74,,10697
"{'type': 'Point', 'coordinates': [-73.9751495642758, 40.65870975330444]}",3,Brooklyn,307,39,44,20,10,Prospect Park Southwest and  11 Avenue,Brooklyn,2022-09-10T00:00:00.000,-73.975151,40.658718,X,AREA OF MINIMAL FLOOD HAZARD,Windsor Terrace-South Slope,9,2,27,45,,17620
"{'type': 'Point', 'coordinates': [-73.81399561023613, 40.760655727548325]}",4,Queens,407,20,40,16,6,Sanford Avenue and 149 Place,Queens,2023-08-29T00:00:00.000,-73.813997,40.760664,X,AREA OF MINIMAL FLOOD HAZARD,East Flushing,22,3,3,67,,14190
"{'type': 'Point', 'coordinates': [-73.9820825586552, 40.723874740277246]}",1,Manhattan,103,2,74,27,10,Avenue B and East   5 Street,Manhattan,2023-08-24T00:00:00.000,-73.982084,40.723883,X,AREA OF MINIMAL FLOOD HAZARD,East Village,70,4,50,5,2,11729
"{'type': 'Point', 'coordinates': [-73.97701856256151, 40.68518774841963]}",3,Brooklyn,302,35,57,26,10,Hanson Place and Saint Felix Avenue,Brooklyn,2015-05-13T00:00:00.000,-73.97702,40.685196,X,AREA OF MINIMAL FLOOD HAZARD,Fort Greene,68,2,48,50,,17619
"{'type': 'Point', 'coordinates': [-73.85385159251926, 40.84917671125684]}",2,Bronx,211,13,82,33,14,Morris Park Avenue and Lurting Avenue,Bronx,2023-03-22T00:00:00.000,-73.853853,40.849185,X,AREA OF MINIMAL FLOOD HAZARD,Morris Park,59,5,12,32,,11270
"{'type': 'Point', 'coordinates': [-73.95515956495029, 40.76490973140785]}",1,Manhattan,108,5,76,28,12,York Avenue and East  69 Street,Manhattan,2023-11-29T00:00:00.000,-73.955161,40.764918,X,AREA OF MINIMAL FLOOD HAZARD,Upper East Side-Lenox Hill-Roosevelt Island,23,4,1,11,4,10090
"{'type': 'Point', 'coordinates': [-74.21673149546191, 40.52236578869393]}",5,Staten Island,503,51,62,24,11,Amboy Road and Penton Street,Staten Island,2023-03-27T00:00:00.000,-74.216733,40.522374,X,AREA OF MINIMAL FLOOD HAZARD,Annadale-Huguenot-Prince's Bay-Woodrow,15,1,9,77,6,10696
"{'type': 'Point', 'coordinates': [-73.9998465516666, 40.74341573774907]}",1,Manhattan,104,3,75,47,12,8 Avenue and West  20 Street,Manhattan,2022-05-25T00:00:00.000,-73.999848,40.743424,X,AREA OF MINIMAL FLOOD HAZARD,Chelsea-Hudson Yards,12,4,10,6,5,12074
"{'type': 'Point', 'coordinates': [-73.99683755320395, 40.73735273886395]}",1,Manhattan,105,2,66,27,10,6 Avenue and West  14 Street,Manhattan,2024-12-10T00:00:00.000,-73.996839,40.737361,X,AREA OF MINIMAL FLOOD HAZARD,Greenwich Village,57,4,10,3,6,12074
"{'type': 'Point', 'coordinates': [-73.79755361889534, 40.700188738478815]}",4,Queens,412,28,32,14,5,Liberty Avenue and 159 Street Pedestrian Way,Queens,2023-05-15T00:00:00.000,-73.797555,40.700197,X,AREA OF MINIMAL FLOOD HAZARD,Jamaica,41,3,46,61,,24668
"{'type': 'Point', 'coordinates': [-73.92985457260968, 40.76731772984592]}",4,Queens,401,22,36,59,14,21 Street and  31 Avenue,Queens,2019-10-11T00:00:00.000,-73.929856,40.767326,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,Old Astoria-Hallets Point,39,3,4,72,3,16859
"{'type': 'Point', 'coordinates': [-73.9555515646071, 40.772646730253044]}",1,Manhattan,108,5,76,28,12,2 Avenue and East  78 Street,Manhattan,2026-05-11T00:00:00.000,-73.955553,40.772655,X,AREA OF MINIMAL FLOOD HAZARD,Upper East Side-Lenox Hill-Roosevelt Island,23,4,1,11,,10092
"{'type': 'Point', 'coordinates': [-73.83868359754709, 40.84073871301894]}",2,Bronx,211,13,82,34,14,East Tremont Avenue and Lehman HS (Pedestrian Crossing),Bronx,2018-12-07T00:00:00.000,-73.838685,40.840747,X,AREA OF MINIMAL FLOOD HAZARD,Throgs Neck-Schuylerville,43,5,12,28,1,11270
"{'type': 'Point', 'coordinates': [-73.90433358151054, 40.75015273302397]}",4,Queens,402,26,30,12,6,58 Street and  37 Avenue,Queens,2023-11-18T00:00:00.000,-73.904335,40.750161,X,AREA OF MINIMAL FLOOD HAZARD,Woodside,53,3,33,66,,14787
"{'type': 'Point', 'coordinates': [-73.94342514115822, 40.71892533356845]}",3,Brooklyn,301,34,50,18,7,Humboldt Street and Richardson Street,Brooklyn,2024-01-03T00:00:00.000,-73.9434265698,40.7189335928,X,AREA OF MINIMAL FLOOD HAZARD,East Williamsburg,36,2,30,57,5,17613
"{'type': 'Point', 'coordinates': [-73.98076555876189, 40.725677739761444]}",1,Manhattan,103,2,74,27,10,Avenue B and East   8 Street,Manhattan,2023-07-21T00:00:00.000,-73.980767,40.725686,X,AREA OF MINIMAL FLOOD HAZARD,East Village,70,4,50,5,4,11729
"{'type': 'Point', 'coordinates': [-74.150004792378, 40.622426713679694]}",5,Staten Island,501,49,63,23,11,Richmond Avenue and Vedder Avenue,Staten Island,2025-08-08T00:00:00.000,-74.1500062823,40.622434947,X,AREA OF MINIMAL FLOOD HAZARD,Mariner's Harbor-Arlington-Graniteville,4,1,13,75,,10700
"{'type': 'Point', 'coordinates': [-73.97784156294762, 40.66339275186851]}",3,Brooklyn,355,39,44,20,10,Prospect Park West and  11 Street,Brooklyn,2022-07-15T00:00:00.000,-73.977843,40.663401,X,AREA OF MINIMAL FLOOD HAZARD,Prospect Park,13,2,27,50,,
"{'type': 'Point', 'coordinates': [-73.9593105676866, 40.69420574557015]}",3,Brooklyn,303,33,57,25,7,Myrtle Avenue and Kent Avenue,Brooklyn,2023-09-28T00:00:00.000,-73.959312,40.694214,X,AREA OF MINIMAL FLOOD HAZARD,Bedford-Stuyvesant (West),69,2,38,51,,17212
"{'type': 'Point', 'coordinates': [-74.00029934975734, 40.62713975511089]}",3,Brooklyn,310,43,49,17,10,13 Avenue and 63 Street,Brooklyn,2026-03-02T00:00:00.000,-74.0003007913,40.6271479949,X,AREA OF MINIMAL FLOOD HAZARD,Borough Park,10,2,7,41,,17621
"{'type': 'Point', 'coordinates': [-73.94403557182375, 40.71237374137097]}",3,Brooklyn,301,34,50,18,7,Graham Avenue and Powers Street,Brooklyn,2025-06-05T00:00:00.000,-73.944037,40.712382,X,AREA OF MINIMAL FLOOD HAZARD,East Williamsburg,36,2,30,56,,17613
"{'type': 'Point', 'coordinates': [-74.13156651764555, 40.603760769197365]}",5,Staten Island,502,50,63,24,11,"Bradley Avenue, Holden Boulevard, and Willowbrook Road",Staten Island,2023-06-08T00:00:00.000,-74.131568,40.603769,X,AREA OF MINIMAL FLOOD HAZARD,Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights,30,1,13,75,,10700
"{'type': 'Point', 'coordinates': [-73.96361556130223, 40.76847773129882]}",1,Manhattan,108,4,73,28,12,Lexington Avenue and East  69 Street,Manhattan,2024-12-18T00:00:00.000,-73.963617,40.768486,X,AREA OF MINIMAL FLOOD HAZARD,Upper East Side-Carnegie Hill,23,4,51,11,,10090
"{'type': 'Point', 'coordinates': [-73.95602256087135, 40.81879372075194]}",1,Manhattan,109,7,70,30,13,Broadway and West 133 Street,Manhattan,2019-05-06T00:00:00.000,-73.956024,40.818802,X,AREA OF MINIMAL FLOOD HAZARD,Manhattanville-West Harlem,37,4,23,17,,12428
"{'type': 'Point', 'coordinates': [-73.95385057534267, 40.58568776652873]}",3,Brooklyn,315,48,45,23,8,Shore Parkway and Voorhies Ave,Brooklyn,2022-01-27T00:00:00.000,-73.953852,40.585696,AE,,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,32,2,15,36,1,13826
"{'type': 'Point', 'coordinates': [-73.89154258671624, 40.73942873449802]}",4,Queens,402,26,30,12,6,Queens Boulevard and 180' West of 73 Street,Queens,2016-11-10T00:00:00.000,-73.891544,40.739437,X,AREA OF MINIMAL FLOOD HAZARD,Woodside,53,3,34,66,,14787
"{'type': 'Point', 'coordinates': [-73.9115565844177, 40.66534274920231]}",3,Brooklyn,316,41,55,25,8,Blake Avenue and Bristol Street,Brooklyn,2025-08-08T00:00:00.000,-73.911558,40.665351,X,AREA OF MINIMAL FLOOD HAZARD,Brownsville,55,2,17,46,6,17614
"{'type': 'Point', 'coordinates': [-73.94547956982518, 40.72135073961076]}",3,Brooklyn,301,33,50,59,7,McGuinness Boulevard and Newton Street,Brooklyn,2026-01-16T00:00:00.000,-73.945481,40.721359,X,AREA OF MINIMAL FLOOD HAZARD,Greenpoint,36,2,38,57,5,18182
"{'type': 'Point', 'coordinates': [-73.80821961328382, 40.74200273106892]}",4,Queens,407,20,25,16,6,Booth Memorial Avenue and 160 Street,Queens,2019-12-07T00:00:00.000,-73.808221,40.742011,X,AREA OF MINIMAL FLOOD HAZARD,Queensboro Hill,22,3,3,67,,14507
"{'type': 'Point', 'coordinates': [-74.12328152031802, 40.61599476628863]}",5,Staten Island,501,50,63,24,11,Manor Road with Crowell Avenue and Sturges Street,Staten Island,2026-02-20T00:00:00.000,-74.123283,40.616003,X,AREA OF MINIMAL FLOOD HAZARD,Westerleigh-Castleton Corners,4,1,14,74,,10700
"{'type': 'Point', 'coordinates': [-74.1756435033027, 40.612183768852034]}",5,Staten Island,502,50,63,24,11,South Avenue and Lois Lane,Staten Island,2022-06-23T00:00:00.000,-74.175645,40.612192,X,AREA OF MINIMAL FLOOD HAZARD,New Springville-Willowbrook-Bulls Head-Travis,30,1,14,75,2,10700
"{'type': 'Point', 'coordinates': [-73.80942161309238, 40.738283731632926]}",4,Queens,408,24,27,16,6,Long Island Expressway South S/R and 159 Street,Queens,2023-12-07T00:00:00.000,-73.809423,40.738292,X,AREA OF MINIMAL FLOOD HAZARD,Pomonok-Electchester-Hillcrest,25,3,24,65,,14507
"{'type': 'Point', 'coordinates': [-73.90676557535878, 40.84853171336578]}",2,Bronx,205,14,86,33,15,Grand Concourse and Mount Hope Place,Bronx,2024-02-23T00:00:00.000,-73.906767,40.84854,X,AREA OF MINIMAL FLOOD HAZARD,Mount Hope,6,5,22,29,,10935
"{'type': 'Point', 'coordinates': [-74.24163748920068, 40.50482279267223]}",5,Staten Island,503,51,62,24,11,Hylan Boulevard and Yetman Avenue,Staten Island,2020-03-10T00:00:00.000,-74.241639,40.504831,X,AREA OF MINIMAL FLOOD HAZARD,Tottenville-Charleston,15,1,9,77,5,10694
"{'type': 'Point', 'coordinates': [-74.11683352247135, 40.61142076765337]}",5,Staten Island,501,49,63,24,11,Slosson Avenue and North Gannon Avenue,Staten Island,2024-09-16T00:00:00.000,-74.116835,40.611429,X,AREA OF MINIMAL FLOOD HAZARD,Westerleigh-Castleton Corners,4,1,13,74,,10700
"{'type': 'Point', 'coordinates': [-73.70191864688893, 40.7387017280286]}",4,Queens,413,23,33,11,3,Hillside Avenue and 267 Street,Queens,2021-02-04T00:00:00.000,-73.70192,40.73871,X,AREA OF MINIMAL FLOOD HAZARD,Glen Oaks-Floral Park-New Hyde Park,63,3,16,63,,15785
"{'type': 'Point', 'coordinates': [-74.12059352112132, 40.60180176927994]}",5,Staten Island,502,50,64,24,11,Manor Road and Ocean Terrace,Staten Island,2024-10-25T00:00:00.000,-74.120595,40.60181,X,AREA OF MINIMAL FLOOD HAZARD,Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights,30,1,14,76,,10700
"{'type': 'Point', 'coordinates': [-73.96983155861975, 40.78460172787828]}",1,Manhattan,107,6,69,47,12,Central Park West and West 85 Street,Manhattan,2023-08-15T00:00:00.000,-73.969833,40.78461,X,AREA OF MINIMAL FLOOD HAZARD,Central Park,19,4,19,13,,
